filename,original_path,overall_quality,final_label,quality_pattern,recommendations,processing_time
OD_11592458.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11592458.jpg,Not Assessed - Bad Lighting,BAD,,Ensure uniform lighting across the entire eye area,0.6703565120697021
OD_11592498.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11592498.jpg,Not Assessed - Bad Lighting,BAD,,Ensure uniform lighting across the entire eye area,0.5950140953063965
OD_11592540.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11592540.jpg,Not Assessed - Bad Lighting,BAD,,Ensure uniform lighting across the entire eye area,0.6067032814025879
OD_11592568.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11592568.jpg,Bad Quality,BAD,NYNY,Use higher resolution camera or move closer; Ensure camera is properly focused on the eye,3.643623113632202
OD_11592592.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11592592.jpg,Not Assessed - Bad Lighting,BAD,,Ensure uniform lighting across the entire eye area,0.6031923294067383
OD_11592619.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11592619.jpg,Bad Quality,BAD,NYNY,Use higher resolution camera or move closer; Ensure camera is properly focused on the eye,3.2700858116149902
OD_11592629.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11592629.jpg,Not Assessed - Bad Lighting,BAD,,Ensure uniform lighting across the entire eye area,0.6161894798278809
OD_11592726.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11592726.jpg,Not Assessed - Bad Lighting,BAD,,Ensure uniform lighting across the entire eye area,0.5886111259460449
OD_11592746.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11592746.jpg,Not Assessed - Bad Lighting,BAD,,Ensure uniform lighting across the entire eye area,0.598325252532959
OD_11592771.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11592771.jpg,Not Assessed - Bad Lighting,BAD,,Ensure uniform lighting across the entire eye area,0.599543571472168
OD_11592822.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11592822.jpg,Not Assessed - Bad Lighting,BAD,,Ensure uniform lighting across the entire eye area,0.5921070575714111
OD_11592838.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11592838.jpg,Not Assessed - Bad Lighting,BAD,,Ensure uniform lighting across the entire eye area,0.5860240459442139
OD_11593065.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11593065.jpg,Not Assessed - Bad Lighting,BAD,,Ensure uniform lighting across the entire eye area,0.5878679752349854
OD_11593068.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11593068.jpg,Bad Quality,BAD,NYNY,Use higher resolution camera or move closer; Ensure camera is properly focused on the eye,3.106281042098999
OD_11593069.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11593069.jpg,Not Assessed - Bad Lighting,BAD,,Ensure uniform lighting across the entire eye area,0.6170411109924316
OD_11593090.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11593090.jpg,Bad Quality,BAD,NYNY,Use higher resolution camera or move closer; Ensure camera is properly focused on the eye,3.256274700164795
OD_11593099.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11593099.jpg,Not Assessed - Bad Lighting,BAD,,Ensure uniform lighting across the entire eye area,0.63193678855896
OD_11593107.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11593107.jpg,Not Assessed - Bad Lighting,BAD,,Ensure uniform lighting across the entire eye area,0.634960412979126
OD_11593110.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11593110.jpg,Bad Quality,BAD,NYNY,Use higher resolution camera or move closer; Ensure camera is properly focused on the eye,3.4126529693603516
OD_11593116.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11593116.jpg,Not Assessed - Bad Lighting,BAD,,Ensure uniform lighting across the entire eye area,0.6283407211303711
OD_11593117.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11593117.jpg,Bad Quality,BAD,YYNY,Ensure camera is properly focused on the eye,3.2735021114349365
OD_11593121.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11593121.jpg,Not Assessed - No Eye,BAD,,Ensure eye is visible and centered in the image,0.3898289203643799
OD_11593206.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11593206.jpg,Not Assessed - Bad Lighting,BAD,,Ensure uniform lighting across the entire eye area,0.6659109592437744
OD_11593374.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11593374.jpg,Not Assessed - Bad Lighting,BAD,,Ensure uniform lighting across the entire eye area,0.5592207908630371
OD_11593382.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11593382.jpg,Not Assessed - Bad Lighting,BAD,,Ensure uniform lighting across the entire eye area,0.5892822742462158
OD_11593402.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11593402.jpg,Not Assessed - Bad Lighting,BAD,,Ensure uniform lighting across the entire eye area,0.6021242141723633
OD_11593423.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11593423.jpg,Not Assessed - Bad Lighting,BAD,,Ensure uniform lighting across the entire eye area,0.6716320514678955
OD_11593425.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11593425.jpg,Bad Quality,BAD,NYNY,Use higher resolution camera or move closer; Ensure camera is properly focused on the eye,3.6169052124023438
OD_11593431.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11593431.jpg,Bad Quality,BAD,NYNN,Use higher resolution camera or move closer; Ensure camera is properly focused on the eye; Adjust lighting angle to minimize reflections,3.6847195625305176
OD_11593483.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11593483.jpg,Not Assessed - Bad Lighting,BAD,,Ensure uniform lighting across the entire eye area,0.6291587352752686
OD_11593517.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11593517.jpg,Bad Quality,BAD,NYNY,Use higher resolution camera or move closer; Ensure camera is properly focused on the eye,3.38261342048645
OD_11593533.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11593533.jpg,Not Assessed - Bad Lighting,BAD,,Ensure uniform lighting across the entire eye area,0.655219554901123
OD_11593615.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11593615.jpg,Not Assessed - Bad Lighting,BAD,,Ensure uniform lighting across the entire eye area,0.6191513538360596
OD_11593627.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11593627.jpg,Not Assessed - Bad Lighting,BAD,,Ensure uniform lighting across the entire eye area,0.6012489795684814
OD_11593677.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11593677.jpg,Bad Quality,BAD,NYNY,Use higher resolution camera or move closer; Ensure camera is properly focused on the eye,3.642834186553955
OD_11593705.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11593705.jpg,Not Assessed - Bad Lighting,BAD,,Ensure uniform lighting across the entire eye area,0.6328670978546143
OD_11593713.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11593713.jpg,Not Assessed - Bad Lighting,BAD,,Ensure uniform lighting across the entire eye area,0.5965549945831299
OD_11593753.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11593753.jpg,Not Assessed - Bad Lighting,BAD,,Ensure uniform lighting across the entire eye area,0.6063051223754883
